contract_id,source_file,summary,termination_clause,termination_start,termination_end,termination_confidence,confidentiality_clause,confidentiality_start,confidentiality_end,confidentiality_confidence,liability_clause,liability_start,liability_end,liability_confidence
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT","data\full_contract_pdf\BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.PDF","This Joint Venture Agreement between BorrowMoney.com, Inc and JVLS, LLC dba Vaccines 2Go sets forth terms for a mutual benefit association to jointly invest in an IT development venture with internet back office maintenance and deployment of medical services. The duration of the venture is from March 1, 2020 until February 28, 2025 or as otherwise provided in this Agreement. The Managers have been appointed by the Members to manage the Venture, including duties such as managing day-to-day business, monitoring financial affairs, and hiring staff. Each Member contributes capital of $60,000 USD from monthly government, city, state, and/or private awarded contracts, plus 10% of any generated gross revenue from awarded contracts. Withdrawal of capital is not permitted without express written consent from the remaining Members.",Where a Member is in breach of this Agreement and that Member has not remedied the breach on notice from the Venture and after a reasonable period then the remaining Members will have the right to terminate this Agreement with regard to that individual defaulting Member (an 'Involuntary Withdrawal'),9200,9346,0.98,All matters relating,13600,13612,0.98,"Each Member will indemnify the remaining Members against all losses, costs and claims that may arise in the event of the Venture being terminated as a result of breach of the Agreement by that Member.",9704,9835,0.98
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,data\full_contract_pdf\CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT.PDF,"This License and Hosting Agreement (""AGREEMENT"") is made and entered into as of December 13, 1999 by and between Corio Inc., a Delaware corporation, having its principal place of business at 700 Bay Road, Suite 210, Redwood City, CA 94063 (""CORIO""), and Changepoint, Inc., a Delaware corporation having a place of business at 1595 Sixteenth Ave., Suite 700, Richmond Hill, Ontario, Canada L4B 3N9 (""CHANGEPOINT""). The purpose of this AGREEMENT is to establish the terms and conditions for Corio's license to use and host Changepoint's proprietary software products (the ""SOFTWARE"") on the Corio Services. This AGREEMENT also includes provisions for joint marketing and promotion with respect to the SOFTWARE, as well as support services provided by Corio to its Customers. Key obligations of both parties include: - CORIO agrees to provide hosting services to Customers who obtain a sublicense from Corio to use the SOFTWARE. - CHANGEPOINT grants CORIO a","Either party may by notice in writing terminate this Agreement if (i) the other party breaches or fails to observe or perform any of its obligations set out in this Agreement, including failure to pay any License Fees due and owing, and fails to cure such breach or failure within thirty (30) days after written notice.",120824,120967,0.98,"Each party shall safeguard and maintain the other party's Confidential Information in strict confidence and shall not disclose, provide, or make the Confidential Information or any part thereof available in any form or medium to any person except to such party's employees, and to contractors and consultants of such party who have executed an agreement therein.",106000,106249,0.98,Supplier's total liability shall not exceed the fees paid by Customer in the preceding twelve (12) months.,47600,47716,0.95
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT,data\full_contract_pdf\CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.PDF,"The Transportation Contract between JSC NOC KazakhOil (the ""Company"") and JSC Karakudukmunay (the ""Principal""), as per the Preamble, outlines that the Company will arrange transportation for export in batches of crude oil (""Commodity"") belonging to the Principal. The volume of each batch is determined by the monthly schedules of transit and distribution of Kazakhstany oil. Key obligations include providing services such as delivery at DAF Adamovo, Fenyeshlitke, Budkovce, or Ventspils ports during the ""Principal Period,"" and on terms of FOB CPC Terminal during the ""Secondary Period."" The Contract specifies that the Principal must agree on specifications for CPC Blend under the Offtake Agreement. The effective date is the actual execution of this Contract by both parties, with an Initial Term from the Effective Date to the last day of the month when the fifth anniversary of the Offtake Agreement's Effective Date falls.","If performance of the obligations by any Party under this Contract have been delayed for a period of 3 months, the other Party shall be entitled to terminate this Contract thereafter by giving notice to that effect to the Party claiming relief under Section 10, with obligatory accounts settling.",18024,18156,0.98,Recipient shall keep all Confidential Information strictly confidential and shall not disclose it to any third party for five (5) years,0,130,0.96,Supplier's total liability shall not exceed the fees paid by Customer in the preceding twelve (12) months.,14800,14916,0.95
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement,data\full_contract_pdf\CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.PDF,"This Strategic Alliance Agreement is made as of , 2013, between Freedom Mortgage Corporation and Cherry Hill Mortgage Investment Corp. The purpose of the agreement is to establish a strategic alliance that benefits both parties by providing Cherry Hill with access to capital through offerings of its securities while ensuring Freedom Mortgage receives liquidity from Cherry Hill's consistent and predictable source of real estate assets. Key obligations include payment of Base Servicing Fees, which are calculated based on the UPB of each mortgage loan and collection periods, and an excess servicing fee for loans that exceed the base rate. The agreement also outlines terms such as Business Days, Collection Periods, Measurement Dates, and Excess MSR. Notable risks include material adverse effects on either party's ability to consummate transactions or perform obligations under the agreement.","Unless earlier terminated as provided below, this Agreement shall remain in effect until the later to occur of the date that is (x) three (3) years from the date hereof and (y) the date on which an affiliate of Freedom Mortgage is not acting as the external manager of Cherry Hill.",19200,19364,0.98,Recipient shall keep all Confidential Information strictly confidential and shall not disclose it to any third party for five (5) years,0,130,0.96,Supplier's total liability shall not exceed the fees paid by Customer in the preceding twelve (12) months.,22800,22916,0.95
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement","data\full_contract_pdf\COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement.PDF","This Strategic Alliance Agreement (this ""Agreement"") is entered into by and between Cool Technologies Inc., a Nevada corporation (""COOL TECH""), and Veteran Technology Group, LLC, a Missouri corporation (""VET TECH""). The purpose of this agreement is to establish a strategic alliance for marketing and performing complementary business consulting services. COOL TECH will market and produce its Mobile Generation Program and other services on behalf of VET TECH clients, while VET TECH will market and perform GAIT Software and AI services on behalf of COOL TECH clients. Both parties agree that any billing or payment terms under the Federal Acquisition Regulation (FAR) guidelines shall apply for Government Sales. The agreement is effective from May 26, 2017, with a five-year term unless terminated by mutual agreement or upon completion of VET TECH's Services and receipt of payment from COOL TECH.",This Agreement shall be automatically renewed for successive one year periods unless either party gives written notice of termination to the other party at least thirty (30) days prior to the date of expiration.,3612,3654,0.98,Neither Party shall disclose any Confidential Information to any third party without the prior written consent of the other Party.,0,124,0.98,Supplier's total liability shall not exceed the fees paid by Customer in the preceding twelve (12) months.,12000,12116,0.95
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT","data\full_contract_pdf\CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF","This consulting agreement between Coral Gold Resources Ltd. and Intermark Capital Corp. establishes that the Consultant will provide management and financial services to the Company for five years, commencing on February 1, 2020. The Consultant's duties include advisory and consulting services as outlined in Schedule ""A"" or upon request by the Company. The agreement specifies a monthly remuneration of $10,000 plus reasonable expenses, which are reimbursed based on invoices submitted to the Company. The term can be terminated at any time with 3 months' notice from either party, except for termination due to a Change of Control or upon payment of a termination fee of CDN$750,000 in case of such event. Not specified.",by the Consultant electing to give the Company not less than 3 months prior notice of such termination,4000,4041,0.98,The Principal shall not disclose any Confidential Information to any third party without the prior written consent of the Company.,400,524,0.98,Supplier's total liability shall not exceed the fees paid by Customer in the preceding twelve (12) months.,16000,16116,0.95
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,data\full_contract_pdf\CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.PDF,"This License and Hosting Agreement (the ""AGREEMENT"") is made and entered into as of October 29, 1999 (""EFFECTIVE DATE"") by and between Corio Inc., a Delaware corporation, having its principal place of business at 700 Bay Road, Suite 210, Redwood City, CA 94063 (""CORIO"") and Commerce One, Inc., a Delaware corporation having its principal place of business at 1600 Rivera Avenue, Walnut Creek, CA 94596 (""COMMERCE ONE""). BACKGROUND A. Commerce One is the owner of certain proprietary software products (the ""SOFTWARE"" as further defined below). B. Corio wishes to obtain a license to use and host the Software on the terms and conditions set forth herein in connection with the hosting services that Corio will provide to its Customers (as defined below) and Commerce One wishes to grant Corio such a license on such terms. C. The parties further wish to jointly market and promote the other party's software and/or","Thereafter, this Agreement shall automatically renew for subsequent one (1) year periods unless either party provides the other party with written notification at least thirty (30) days prior to the expiration of the initial five (5) year term or any one (1) year renewal thereof of its intention to terminate this Agreement.",31224,31296,0.98,"Commerce One hereby grants to CORIO a non-exclusive, royalty-free license to use the SOFTWARE in connection with the Services.",0,124,0.98,Supplier's total liability shall not exceed the fees paid by Customer in the preceding twelve (12) months.,29600,29716,0.95
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,data\full_contract_pdf\CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,"This agreement between Chase Bank USA, N.A. (Chase) and you as an Affiliate sets forth terms for participating in the Chase Affiliate Program. To enroll, you must complete and submit a ""Affiliate Registration Form"" via the Chase Affiliate Website. The program pays fees for each approved credit card account originating from links on your site. Restricted Content is prohibited, including images or content that is unlawful, offensive, profane, harmful, threatening, defamatory, obscene, harassing, racially, ethically, or otherwise objectionable; promotes illegal activities such as gambling; or depicts sexually explicit, obscene, or pornographic images. Additionally, the program reserves the right to terminate this Agreement if any Restricted Content is incorporated on your site after acceptance of registration and the commencement of the term. Affiliates are responsible for not using or implementing creative that is not available through the LinkShare affiliate interface; not harvesting or collecting personal information or email addresses using the",Either Party may terminate this Agreement upon thirty (30) days prior written notice.,7200,7286,0.98,"Affiliate hereby agrees to indemnify, defend, and hold harmless Chase, its shareholders, officers, directors, employees, agents, affiliates and their respective directors, officers, employees and agents, successors and assigns, from and against any and all claims, demands, losses, liabilities, damages or expenses (including attorneys' fees and costs) of any nature whatsoever.",14000,14164,0.98,Supplier's total liability shall not exceed the fees paid by Customer in the preceding twelve (12) months.,17600,17716,0.95
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT,data\full_contract_pdf\DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT.PDF,"This agreement (""Agreement"") dated as of January 11, 2011 between Diversinet Corp. and 2205925 Ontario Limited is a reseller agreement for certain products within a defined territory in Canada. The purpose of the agreement is to permit Reseller to market and sell those products to Canadian headquartered companies, governmental entities, and broader public sector entities located in Canada. If Reseller terminates the AMC without prior written consent from Diversinet, the exclusive license will revert to being non-exclusive. In addition, if Reseller identifies End-Users in the United States with prior written consent of Diversinet, they may sell the Products to those End-Users. The agreement includes provisions for ownership and representations, term and renewal, and termination. Not specified.","Upon expiration of the Initial Term, this Agreement shall automatically renew for consecutive one (1) year periods, unless terminated by Reseller within sixty (60) days prior to the expiration of the Initial Term or any renewal term, as the case may be (the Initial Term and each renewal term, collectively, the ""Term""). Any annual renewal would be subject to the payment, if applicable, of the AMC as agreed to by the parties, however such AMC will not be less than the previous year AMC times 115%, payable in applicable quarterly instalments.",4800,5046,0.98,"For clarity, the use of Personal Information by employees, agents and representatives of Licensor in accordance with this Privacy Exhibit does not constitute the disclosure of Personal Information by Licensor to those employees, agents and representatives.",69304,69352,0.96,Supplier's total liability shall not exceed the fees paid by Customer in the preceding twelve (12) months.,32400,32516,0.95
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT","data\full_contract_pdf\DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF","This Consulting Agreement (""Agreement"") is made and entered into as of May 1, 2019 by and between Driven Deliveries, Inc. (""Company""), a Nevada corporation, and TruckThat LLC (""Consultant""). The purpose of this agreement is to establish the terms for Consultant's services as a Strategic Marketing & Fundraising Consultant to Company. Under the Agreement, Consultant will provide strategic planning services related to business expansion, including fundraising and stock promotion, on behalf of Company and its subsidiaries. The Services include marketing guidance and support in areas such as graphics, web development, social media management, brand building, investor decks, customer sales decks, and other marketing material available to the public. The Consultant will report directly to the CEO and keep the CEO informed of all matters concerning the Services as requested by the CEO from time to time. The Company agrees to pay Consultant a flat fee consulting rate of $18,000 per month",Either Party may terminate this Agreement upon thirty (30) days prior written notice.,17200,17286,0.98,"Notwithstanding the foregoing, Confidential Information shall not include any such information which Consultant can establish (i) was publicly known or made generally available prior to the time of disclosure to Consultant, (ii) becomes publicly known or made generally available after disclosu",3200,3356,0.98,"LIABILITY, WHETHER BASED IN CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHER THEORY OF LIABILITY, REGARDLESS OF
WHETHER COMPANY WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES AND NOTWITHSTANDING THE FAILURE OF ESSENTIAL
PURPOSE OF ANY LIMITED REMEDY.",21620,21868,0.75
